,ID,ICAO,Country,AirportName,longitude,latitude,Year,PAX,cargo,Population100km,Island,SouthIsland,Routes,RunwayCount,NUTS0,NUTS1,NUTS2,NUTS3,Tourists,Area,GDPpc,hub,international,ownership,RunwayLength
88,1341,LGIR,Greece,Nikos Kazantzakis,25.180297,35.339719,2011,5247007,1728,431578.8438,0,0,20,2,EL,EL4,EL43,EL431,3487511,8336,16900,0,1,public,4280
70,1345,LGKC,Greece,Kithira,23.016978,36.274258,2011,27391,73,72178.125,1,1,4,1,EL,EL3,EL30,EL300,3450914,3808,27500,0,0,public,1461
63,1347,LGKF,Greece,Kefallinia,20.500481,38.120069,2011,346397,57,360201.4063,1,1,6,1,EL,EL2,EL22,EL223,2079661,2307,18100,0,1,public,2436
76,1356,LGKJ,Greece,Kastelorizo,29.566656,36.127777,2011,8723,40,1014948.25,0,0,2,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,0,public,800
68,1357,LGKL,Greece,Kalamata,22.025525,37.068319,2011,99451,0,458597.3438,0,0,4,1,EL,EL2,EL25,EL255,1202907,15490,16100,0,1,public,2703
77,1365,LGKO,Greece,Kos,27.091667,36.793335,2011,1926223,737,494946.9063,1,1,8,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,1,public,2400
89,1367,LGKP,Greece,Karpathos,27.146008,35.421408,2011,181084,11,16116.68945,1,1,6,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,1,public,2399
64,1376,LGKR,Greece,Ioannis Kapodistrias Intl,19.911667,39.601944,2011,1844173,323,502612.875,1,1,6,1,EL,EL2,EL22,EL222,2079661,2307,18100,0,1,public,2373
78,1381,LGKS,Greece,Kasos,26.910047,35.421358,2011,4866,44,28329.70508,1,1,4,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,0,public,982
59,1387,LGKV,Greece,Megas Alexandros Intl,24.619223,40.913306,2011,252307,526,817322.625,0,0,2,1,EL,EL1,EL11,EL115,561992,14157,14400,0,1,public,3000
79,1388,LGKY,Greece,Kalymnos Island,26.940556,36.963333,2011,24249,47,552469.25,0,0,6,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,0,public,1135
80,1397,LGLE,Greece,Leros,26.800289,37.184903,2011,30906,88,698422.625,1,1,6,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,0,public,1012
73,1400,LGLM,Greece,Limnos,25.236308,39.917072,2011,92952,173,117298.4688,1,1,8,1,EL,EL4,EL41,EL411,371239,3836,15600,0,0,public,3016
81,1407,LGMK,Greece,Mikonos,25.348103,37.435128,2011,482809,65,96653.22656,1,1,4,1,EL,EL4,EL42,EL422,3762195,5286,20800,0,1,public,1903
82,1410,LGML,Greece,Milos,24.4775,36.696111,2011,30351,50,72751.99219,1,1,2,1,EL,EL4,EL42,EL422,3762195,5286,20800,0,0,public,1030
74,1414,LGMT,Greece,Mitilini,26.598333,39.056667,2011,469380,578,2871166.75,0,0,14,1,EL,EL4,EL41,EL411,371239,3836,15600,0,1,public,2406
83,1422,LGNX,Greece,Naxos,25.368056,37.080556,2011,25783,0,104666.3516,1,1,2,1,EL,EL4,EL42,EL422,3762195,5286,20800,0,0,public,901
84,1427,LGPA,Greece,Paros,25.127778,37.010278,2011,36271,0,100584.3984,1,1,2,1,EL,EL4,EL42,EL422,3762195,5286,20800,0,0,public,710
85,1429,LGPL,Greece,Astypalaia,26.375822,36.579886,2011,13350,0,97592.65625,0,0,4,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,0,public,989
66,1434,LGPZ,Greece,Aktio,20.765311,38.925467,2011,294156,0,573367.9375,0,0,3,1,EL,EL2,EL23,EL231,766302,11350,15300,0,1,public,2871
90,1440,LGRP,Greece,Rhodes Diagoras,28.086192,36.405419,2011,4148386,1779,596068.125,1,1,22,1,EL,EL4,EL42,EL421,3762195,5286,20800,0,1,public,3305
91,1447,LGSA,Greece,Souda,24.149678,35.531747,2011,1774708,1282,426072.5938,0,0,8,1,EL,EL4,EL43,EL434,3487511,8336,16900,0,1,public,3347
61,1453,LGSK,Greece,Alexandros Papadiamantis,23.503675,39.1771,2011,246658,0,587438.125,1,1,2,1,EL,EL1,EL14,EL143,1145362,14037,14500,0,1,public,1628
75,1456,LGSM,Greece,Samos,26.911667,37.689999,2011,408720,468,2682195.25,1,1,8,1,EL,EL4,EL41,EL412,371239,3836,15600,0,1,public,2100
86,1462,LGSO,Greece,Syros Airport,24.950936,37.422792,2011,9872,9,142605.8594,1,1,2,1,EL,EL4,EL42,EL422,3762195,5286,20800,0,0,public,1080
87,1464,LGSR,Greece,Santorini,25.479333,36.399169,2011,785547,168,53563.62109,1,1,4,1,EL,EL4,EL42,EL422,3762195,5286,20800,0,1,public,2125
95,1469,LGST,Greece,Sitia,26.101325,35.216108,2011,39604,13,291429.5,0,0,6,1,EL,EL4,EL43,EL43X,3487511,8336,16900,0,0,public,2074
67,1475,LGSY,Greece,Skiros,24.487228,38.967553,2011,4488,0,196610.9688,1,1,2,1,EL,EL2,EL24,EL242,750867,15549,17400,0,1,public,3002
60,1484,LGTS,Greece,Makedonia,22.97095,40.519725,2011,3958475,7077,1931934,0,0,84,2,EL,EL1,EL12,EL122,2613618,19147,15900,0,1,public,4850
65,1487,LGZA,Greece,Dionysios Solomos,20.88425,37.750853,2011,920701,0,524455.75,1,1,6,1,EL,EL2,EL22,EL221,2079661,2307,18100,0,1,public,2228
